,precision,recall,f1-score,support
Epithermal,0.5,0.5882352941176471,0.5405405405405405,17.0
IOCG,0.5714285714285714,0.8,0.6666666666666666,10.0
Magmatic Ni-Cu-PGE,0.9230769230769231,1.0,0.9600000000000001,12.0
Orogenic - Intrusion Related Au,0.7391304347826086,0.8095238095238095,0.7727272727272727,42.0
Other,0.5,0.1111111111111111,0.1818181818181818,9.0
Porphyry,0.6666666666666666,0.9090909090909091,0.7692307692307692,11.0
Sediment Hosted Cu,0.875,0.875,0.875,8.0
Sediment Hosted Pb-Zn,0.9459459459459459,0.8974358974358975,0.9210526315789475,39.0
Skarn,0.8,0.3333333333333333,0.47058823529411764,12.0
VHMS,0.825,0.825,0.825,40.0
accuracy,0.77,0.77,0.77,0.77
macro avg,0.7346248541900715,0.7148730354612708,0.6982624297856496,200.0
weighted avg,0.7732995613865179,0.77,0.7574820743170588,200.0
