,Epithermal,IOCG,Magmatic Ni-Cu-PGE,Orogenic - Intrusion Related Au,Other,Porphyry,Sediment Hosted Cu,Sediment Hosted Pb-Zn,Skarn,VHMS
Epithermal,0.5882352941176471,0.0,0.0,0.29411764705882354,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705
IOCG,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Magmatic Ni-Cu-PGE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orogenic - Intrusion Related Au,0.11904761904761904,0.047619047619047616,0.0,0.8095238095238095,0.0,0.0,0.0,0.0,0.0,0.023809523809523808
Other,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.3333333333333333
Porphyry,0.0,0.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,0.0,0.0,0.0
Sediment Hosted Cu,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0
Sediment Hosted Pb-Zn,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.8974358974358975,0.02564102564102564,0.05128205128205128
Skarn,0.3333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0
VHMS,0.0,0.05,0.0,0.075,0.0,0.025,0.025,0.0,0.0,0.825
