fold,svm_name,svm_C,svm_gamma,xgb_weight,svm_weight,accuracy,balanced_accuracy,macro_f1,top_3_accuracy,training_samples,validation_samples,training_deposits,validation_deposits
1,rbf_c1_scale,1.0,scale,0.0,1.0,0.59375,0.6223039215686275,0.6145144433379727,0.95,643,160,323,74
1,rbf_c1_scale,1.0,scale,0.2,0.8,0.58125,0.6223039215686275,0.6096724984441882,0.95625,643,160,323,74
1,rbf_c1_scale,1.0,scale,0.4,0.6,0.58125,0.6308660130718955,0.6040049089172927,0.9375,643,160,323,74
1,rbf_c1_scale,1.0,scale,0.5,0.5,0.58125,0.6346160130718954,0.6119538982405168,0.925,643,160,323,74
1,rbf_c1_scale,1.0,scale,0.6,0.4,0.58125,0.6346160130718954,0.6114127554676181,0.925,643,160,323,74
1,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.5875,0.638545751633987,0.6134193387798701,0.8875,643,160,323,74
1,rbf_c1_scale,1.0,scale,1.0,0.0,0.6,0.6544281045751634,0.6284402852049911,0.875,643,160,323,74
1,rbf_c3_scale,3.0,scale,0.0,1.0,0.6,0.6085130718954248,0.5974178667217851,0.9625,643,160,323,74
1,rbf_c3_scale,3.0,scale,0.2,0.8,0.6,0.6386437908496732,0.6250141008476121,0.9625,643,160,323,74
1,rbf_c3_scale,3.0,scale,0.4,0.6,0.6,0.6458660130718955,0.6322613660848955,0.95,643,160,323,74
1,rbf_c3_scale,3.0,scale,0.5,0.5,0.58125,0.6301715686274509,0.6133180615955427,0.93125,643,160,323,74
1,rbf_c3_scale,3.0,scale,0.6,0.4,0.5875,0.6373937908496733,0.6134337982670448,0.9125,643,160,323,74
1,rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.59375,0.6444281045751634,0.6202903245982243,0.8875,643,160,323,74
1,rbf_c3_scale,3.0,scale,1.0,0.0,0.6,0.6544281045751634,0.6284402852049911,0.875,643,160,323,74
1,rbf_c10_scale,10.0,scale,0.0,1.0,0.59375,0.5888807189542484,0.5678840595249264,0.96875,643,160,323,74
1,rbf_c10_scale,10.0,scale,0.2,0.8,0.6,0.6065604575163399,0.5839613367822121,0.95625,643,160,323,74
1,rbf_c10_scale,10.0,scale,0.4,0.6,0.5875,0.6143382352941177,0.5968884098194442,0.95,643,160,323,74
1,rbf_c10_scale,10.0,scale,0.5,0.5,0.59375,0.6391993464052288,0.6228082696592379,0.91875,643,160,323,74
1,rbf_c10_scale,10.0,scale,0.6,0.4,0.58125,0.6262826797385621,0.602453406110182,0.89375,643,160,323,74
1,rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.58125,0.6270669934640524,0.6096206535400084,0.8875,643,160,323,74
1,rbf_c10_scale,10.0,scale,1.0,0.0,0.6,0.6544281045751634,0.6284402852049911,0.875,643,160,323,74
1,rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.60625,0.6224428104575164,0.6113067065906822,0.9625,643,160,323,74
1,rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.59375,0.6310049019607844,0.6249522999522998,0.95625,643,160,323,74
1,rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.59375,0.6391993464052288,0.620884648428686,0.9375,643,160,323,74
1,rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.58125,0.6301715686274509,0.6133180615955427,0.9375,643,160,323,74
1,rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.5875,0.6325326797385621,0.6081188517756277,0.925,643,160,323,74
1,rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.58125,0.6318790849673203,0.6053341052209522,0.8875,643,160,323,74
1,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.6,0.6544281045751634,0.6284402852049911,0.875,643,160,323,74
2,rbf_c1_scale,1.0,scale,0.0,1.0,0.8111888111888111,0.7574112414692125,0.6662733861120957,0.951048951048951,660,143,316,81
2,rbf_c1_scale,1.0,scale,0.2,0.8,0.8671328671328671,0.7973928379725481,0.716977344645463,0.9790209790209791,660,143,316,81
2,rbf_c1_scale,1.0,scale,0.4,0.6,0.8811188811188811,0.8159995399125834,0.812392363233878,0.9790209790209791,660,143,316,81
2,rbf_c1_scale,1.0,scale,0.5,0.5,0.8601398601398601,0.796882907752473,0.7864548005521637,0.9790209790209791,660,143,316,81
2,rbf_c1_scale,1.0,scale,0.6,0.4,0.8741258741258742,0.8283107123686835,0.8169969251586338,0.9790209790209791,660,143,316,81
2,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.8881118881118881,0.838133578713289,0.8350900626066099,0.9790209790209791,660,143,316,81
2,rbf_c1_scale,1.0,scale,1.0,0.0,0.8811188811188811,0.8357181197760908,0.8209074098274658,0.972027972027972,660,143,316,81
2,rbf_c3_scale,3.0,scale,0.0,1.0,0.8251748251748252,0.7327888965570125,0.6653562838449119,0.965034965034965,660,143,316,81
2,rbf_c3_scale,3.0,scale,0.2,0.8,0.8601398601398601,0.7444291081972243,0.6879047616386542,0.986013986013986,660,143,316,81
2,rbf_c3_scale,3.0,scale,0.4,0.6,0.8811188811188811,0.8006556245686681,0.7342901919811937,0.986013986013986,660,143,316,81
2,rbf_c3_scale,3.0,scale,0.5,0.5,0.8601398601398601,0.7777816118395828,0.7111464941591984,0.986013986013986,660,143,316,81
2,rbf_c3_scale,3.0,scale,0.6,0.4,0.8601398601398601,0.8023847864427575,0.7283337996073735,0.986013986013986,660,143,316,81
2,rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.8951048951048951,0.8455409861206964,0.8420332324317832,0.9790209790209791,660,143,316,81
2,rbf_c3_scale,3.0,scale,1.0,0.0,0.8811188811188811,0.8357181197760908,0.8209074098274658,0.972027972027972,660,143,316,81
2,rbf_c10_scale,10.0,scale,0.0,1.0,0.8321678321678322,0.7520665593129361,0.6769085996745571,0.958041958041958,660,143,316,81
2,rbf_c10_scale,10.0,scale,0.2,0.8,0.8461538461538461,0.7549421056667434,0.68741816350512,0.986013986013986,660,143,316,81
2,rbf_c10_scale,10.0,scale,0.4,0.6,0.8811188811188811,0.8179932520512231,0.744968814968815,0.986013986013986,660,143,316,81
2,rbf_c10_scale,10.0,scale,0.5,0.5,0.8811188811188811,0.7950118855915957,0.7267969867969869,0.986013986013986,660,143,316,81
2,rbf_c10_scale,10.0,scale,0.6,0.4,0.8881118881118881,0.8227896633693735,0.7465372465372466,0.986013986013986,660,143,316,81
2,rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.8881118881118881,0.8431255271834982,0.8322861893514067,0.986013986013986,660,143,316,81
2,rbf_c10_scale,10.0,scale,1.0,0.0,0.8811188811188811,0.8357181197760908,0.8209074098274658,0.972027972027972,660,143,316,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.8391608391608392,0.7349052986734147,0.6796551608006716,0.965034965034965,660,143,316,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.8741258741258742,0.7691204662219155,0.7175582192921119,0.9790209790209791,660,143,316,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.8811188811188811,0.8056475730388775,0.7383577040019871,0.9790209790209791,660,143,316,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.8671328671328671,0.7851890192469902,0.7269530626052365,0.9790209790209791,660,143,316,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.8741258741258742,0.812966797024768,0.7452545699914122,0.9790209790209791,660,143,316,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.8951048951048951,0.8455409861206964,0.8420332324317832,0.9790209790209791,660,143,316,81
2,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.8811188811188811,0.8357181197760908,0.8209074098274658,0.972027972027972,660,143,316,81
3,rbf_c1_scale,1.0,scale,0.0,1.0,0.7055214723926381,0.6822854633289416,0.6538586102848384,0.901840490797546,640,163,315,82
3,rbf_c1_scale,1.0,scale,0.2,0.8,0.7116564417177914,0.6872854633289417,0.6529052935373725,0.8895705521472392,640,163,315,82
3,rbf_c1_scale,1.0,scale,0.4,0.6,0.7239263803680982,0.6753763724198507,0.6583263463592425,0.901840490797546,640,163,315,82
3,rbf_c1_scale,1.0,scale,0.5,0.5,0.7116564417177914,0.6699409657212863,0.6522650365507509,0.901840490797546,640,163,315,82
3,rbf_c1_scale,1.0,scale,0.6,0.4,0.7116564417177914,0.6668517208700275,0.6465445681987034,0.9141104294478528,640,163,315,82
3,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.7116564417177914,0.6599347248225966,0.6507854481764257,0.9141104294478528,640,163,315,82
3,rbf_c1_scale,1.0,scale,1.0,0.0,0.6993865030674846,0.6519347248225966,0.6348786028830109,0.9141104294478528,640,163,315,82
3,rbf_c3_scale,3.0,scale,0.0,1.0,0.7361963190184049,0.7022999560825648,0.6721851159638883,0.8834355828220859,640,163,315,82
3,rbf_c3_scale,3.0,scale,0.2,0.8,0.7116564417177914,0.6829521299956083,0.650235679779158,0.901840490797546,640,163,315,82
3,rbf_c3_scale,3.0,scale,0.4,0.6,0.6932515337423313,0.6429202320689735,0.6178849797622183,0.9079754601226994,640,163,315,82
3,rbf_c3_scale,3.0,scale,0.5,0.5,0.6932515337423313,0.6523444744932159,0.625195913285692,0.9202453987730062,640,163,315,82
