svm_name,svm_C,svm_gamma,xgb_weight,svm_weight,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,std_accuracy,mean_top_3_accuracy,std_top_3_accuracy
rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.6733413317390929,0.09520891653272884,0.6944904462369134,0.08566735934545719,0.7273647892149057,0.10768972702744468,0.9192730461093873,0.03508959353747684
rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.672042103261959,0.09265521366426338,0.6913977115585009,0.08350738271110804,0.7234891939512735,0.10709860490712421,0.9215851848377111,0.034977895203442876
rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.6703563678607478,0.09748627362054971,0.6919806423153447,0.08766132949830972,0.7248647892149056,0.11163968711815123,0.9228756215337018,0.03402464335552029
rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.6700442567240104,0.09238598241177606,0.6912247873996653,0.08734399292971363,0.7246222571804661,0.10892779336376196,0.9230547107371813,0.03767208350894458
rbf_c10_scale,10.0,scale,1.0,0.0,0.6684696807720043,0.08545391963644514,0.696974134197179,0.07813351335506541,0.7209805354584489,0.10112378842627379,0.914091489684704,0.03700785438133536
rbf_c1_scale,1.0,scale,1.0,0.0,0.6684696807720043,0.08545391963644514,0.696974134197179,0.07813351335506541,0.7209805354584489,0.10112378842627379,0.914091489684704,0.03700785438133536
rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.6684696807720043,0.08545391963644514,0.696974134197179,0.07813351335506541,0.7209805354584489,0.10112378842627379,0.914091489684704,0.03700785438133536
rbf_c3_scale,3.0,scale,1.0,0.0,0.6684696807720043,0.08545391963644514,0.696974134197179,0.07813351335506541,0.7209805354584489,0.10112378842627379,0.914091489684704,0.03700785438133536
rbf_c1_scale,1.0,scale,0.5,0.5,0.6643550386820304,0.07050023262935234,0.6806688116288275,0.06624925302635566,0.7236446473727992,0.099439500978485,0.925475127743488,0.03161329562888688
rbf_c1_scale,1.0,scale,0.6,0.4,0.6612950675492891,0.0883171479581633,0.6845178404728122,0.08141446857300011,0.7217541298823945,0.10389084259108887,0.9279291154735493,0.029740762712838518
rbf_c1_scale,1.0,scale,0.4,0.6,0.6598092409746021,0.08804053727905606,0.6754647390533235,0.0811673246246771,0.7232311374517735,0.10646759700144014,0.927975127743488,0.03205746265883501
rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.6554137470222363,0.047255615159434446,0.6795326303235973,0.0709797992768643,0.7280842740013311,0.1024543214427206,0.9291311971076498,0.03175910734101406
rbf_c10_scale,10.0,scale,0.4,0.6,0.6485040771083452,0.05671760653449659,0.6813593494767238,0.07929317162598526,0.7269201618420174,0.10404112613799582,0.931881210811998,0.03625328180992988
rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.64641601857977,0.04856074347378795,0.6721366673658065,0.06517170564118656,0.7216459651797839,0.1011158760347586,0.927975127743488,0.03205746265883501
