,precision,recall,f1-score,support
Epithermal,0.5384615384615384,0.4666666666666667,0.5,15.0
IOCG,0.6666666666666666,0.8571428571428571,0.75,14.0
Magmatic Ni-Cu-PGE,1.0,1.0,1.0,10.0
Orogenic - Intrusion Related Au,0.9285714285714286,0.9176470588235294,0.923076923076923,85.0
Other,0.4,0.5,0.4444444444444445,4.0
Porphyry,0.9,0.8181818181818182,0.8571428571428572,22.0
Sediment Hosted Cu,0.8,0.8,0.8000000000000002,10.0
Sediment Hosted Pb-Zn,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
Skarn,0.0,0.0,0.0,4.0
VHMS,0.7777777777777778,0.7,0.7368421052631577,20.0
accuracy,0.8163265306122449,0.8163265306122449,0.8163265306122449,0.8163265306122449
macro avg,0.6797191697191697,0.6976305067481539,0.6857660176081228,196.0
weighted avg,0.8200150756273205,0.8163265306122449,0.8162609558957571,196.0
