,precision,recall,f1-score,support
Epithermal,0.4666666666666667,0.4666666666666667,0.4666666666666667,15.0
IOCG,0.6666666666666666,0.8571428571428571,0.75,14.0
Magmatic Ni-Cu-PGE,1.0,1.0,1.0,10.0
Orogenic - Intrusion Related Au,0.9390243902439024,0.9058823529411765,0.9221556886227545,85.0
Other,0.3333333333333333,0.5,0.4,4.0
Porphyry,0.8947368421052632,0.7727272727272727,0.8292682926829269,22.0
Sediment Hosted Cu,0.8,0.8,0.8000000000000002,10.0
Sediment Hosted Pb-Zn,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
Skarn,0.0,0.0,0.0,4.0
VHMS,0.7222222222222222,0.65,0.6842105263157895,20.0
accuracy,0.8010204081632653,0.8010204081632653,0.8010204081632653,0.8010204081632653
macro avg,0.6608364406952341,0.686908581614464,0.6698455020441985,196.0
weighted avg,0.8114335012078063,0.8010204081632653,0.8039040441434717,196.0
