,Epithermal,IOCG,Magmatic Ni-Cu-PGE,Orogenic - Intrusion Related Au,Other,Porphyry,Sediment Hosted Cu,Sediment Hosted Pb-Zn,Skarn,VHMS
Epithermal,0.4666666666666667,0.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.2
IOCG,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
Magmatic Ni-Cu-PGE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orogenic - Intrusion Related Au,0.047058823529411764,0.011764705882352941,0.0,0.9058823529411765,0.023529411764705882,0.0,0.0,0.0,0.011764705882352941,0.0
Other,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Porphyry,0.0,0.13636363636363635,0.0,0.0,0.0,0.7727272727272727,0.0,0.0,0.045454545454545456,0.045454545454545456
Sediment Hosted Cu,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
Sediment Hosted Pb-Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333
Skarn,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
VHMS,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.65
