fold,svm_name,svm_C,svm_gamma,xgb_weight,svm_weight,accuracy,balanced_accuracy,macro_f1,roc_auc,training_pairs,validation_pairs,training_deposits,validation_deposits
1,rbf_c1_scale,1.0,scale,0.0,1.0,0.6187150837988827,0.6187150837988826,0.6178363541767364,0.6698492209634185,7644,2148,317,81
1,rbf_c1_scale,1.0,scale,0.2,0.8,0.6252327746741154,0.6252327746741155,0.6243005091847721,0.6754340792526242,7644,2148,317,81
1,rbf_c1_scale,1.0,scale,0.4,0.6,0.6303538175046555,0.6303538175046555,0.6292726273615091,0.6781042691828872,7644,2148,317,81
1,rbf_c1_scale,1.0,scale,0.5,0.5,0.6289571694599627,0.6289571694599627,0.6281989664447458,0.6785871574267692,7644,2148,317,81
1,rbf_c1_scale,1.0,scale,0.6,0.4,0.6294227188081937,0.6294227188081937,0.6287710028477113,0.6787189330337171,7644,2148,317,81
1,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.6308193668528864,0.6308193668528864,0.6305592155561413,0.6774644639333631,7644,2148,317,81
1,rbf_c1_scale,1.0,scale,1.0,0.0,0.62756052141527,0.62756052141527,0.6274439236329421,0.6743824752313875,7644,2148,317,81
1,rbf_c3_scale,3.0,scale,0.0,1.0,0.6261638733705773,0.6261638733705772,0.6254312002552076,0.6751518887259033,7644,2148,317,81
1,rbf_c3_scale,3.0,scale,0.2,0.8,0.6317504655493482,0.6317504655493482,0.630997970461473,0.6793639399519367,7644,2148,317,81
1,rbf_c3_scale,3.0,scale,0.4,0.6,0.62756052141527,0.62756052141527,0.6269343661531515,0.6807241763157621,7644,2148,317,81
1,rbf_c3_scale,3.0,scale,0.5,0.5,0.6322160148975792,0.6322160148975791,0.6316792484773766,0.6808282096896684,7644,2148,317,81
1,rbf_c3_scale,3.0,scale,0.6,0.4,0.6322160148975792,0.6322160148975791,0.631705148818102,0.6805993362670745,7644,2148,317,81
1,rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.6317504655493482,0.6317504655493482,0.6314909703718886,0.678379957623739,7644,2148,317,81
1,rbf_c3_scale,3.0,scale,1.0,0.0,0.62756052141527,0.62756052141527,0.6274439236329421,0.6743824752313875,7644,2148,317,81
1,rbf_c10_scale,10.0,scale,0.0,1.0,0.6266294227188082,0.6266294227188082,0.6259432323513063,0.6820727089250231,7644,2148,317,81
1,rbf_c10_scale,10.0,scale,0.2,0.8,0.6336126629422719,0.6336126629422718,0.6329245611806512,0.6842552424151002,7644,2148,317,81
1,rbf_c10_scale,10.0,scale,0.4,0.6,0.6345437616387337,0.6345437616387337,0.6339705892249058,0.6845474028068204,7644,2148,317,81
1,rbf_c10_scale,10.0,scale,0.5,0.5,0.6345437616387337,0.6345437616387337,0.6338866641928789,0.6839379406246856,7644,2148,317,81
1,rbf_c10_scale,10.0,scale,0.6,0.4,0.6345437616387337,0.6345437616387337,0.6340233405674377,0.6829322846769244,7644,2148,317,81
1,rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.6336126629422719,0.6336126629422719,0.6333544800033836,0.679607551435834,7644,2148,317,81
1,rbf_c10_scale,10.0,scale,1.0,0.0,0.62756052141527,0.62756052141527,0.6274439236329421,0.6743824752313875,7644,2148,317,81
1,rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.6247672253258846,0.6247672253258845,0.6238855307567441,0.683526141852973,7644,2148,317,81
