svm_name,svm_C,svm_gamma,xgb_weight,svm_weight,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,mean_roc_auc
rbf_c10_scale,10.0,scale,0.5,0.5,0.6710524766577177,0.02281459368226259,0.6717872668982896,0.02259773252044262,0.6717388514045466,0.7275265892609347
rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.6706309384732551,0.021619416296173127,0.6714459101820733,0.02132435033947174,0.6714070574017729,0.7283780703471735
rbf_c10_scale,10.0,scale,0.6,0.4,0.6700685388674216,0.023263652647633748,0.670813493649622,0.022976239172592998,0.670766798380263,0.7264672335222288
rbf_c10_scale,10.0,scale,0.4,0.6,0.6695220012220242,0.022691374926569124,0.6701913145162196,0.022508297732674067,0.6701262806292455,0.7278636686429073
rbf_c10_scale,10.0,scale,0.2,0.8,0.6692546136915893,0.024190211626488118,0.6698470261342868,0.024045041456163693,0.6697851322048122,0.7260077069404324
rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.669104285352622,0.021664580327285615,0.6698924585800172,0.021377481344324954,0.6698521436207764,0.7270487497115365
rbf_c3_scale,3.0,scale,0.5,0.5,0.6687249215964263,0.02349298912064901,0.6695713597127185,0.023416615543985164,0.6695177398821742,0.7265378061617909
rbf_c3_scale,3.0,scale,0.6,0.4,0.6686553218920671,0.023772249707039925,0.6694834816701873,0.023538001062124347,0.6694397447861193,0.7255978994764866
rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.6683398341575824,0.022550364910012496,0.6692200320371589,0.02237524357254527,0.6691761896976536,0.7291009503907991
rbf_c1_scale,1.0,scale,0.5,0.5,0.6671741379752419,0.024393399949027547,0.668041842373745,0.02417852033529079,0.6679822590604896,0.7251896844505973
rbf_c3_scale,3.0,scale,0.4,0.6,0.667106266457883,0.024985755012711296,0.6679830455782244,0.02476649866691419,0.6679165945394685,0.7269802237885521
rbf_c3_scale,3.0,scale,0.2,0.8,0.6665498158548878,0.024347790007258504,0.6674017899090395,0.024207685313335812,0.6673311737249907,0.7256473467537586
rbf_c1_scale,1.0,scale,0.4,0.6,0.6665388904299455,0.02386561517154748,0.6675228712597472,0.023573836258713527,0.6674490317458365,0.7252996566882414
rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.6664673311694089,0.023738819679971202,0.6671693426401328,0.023488087332496813,0.6671496755992841,0.7224179191466298
rbf_c1_scale,1.0,scale,0.6,0.4,0.6664072159370068,0.024293242208185895,0.6672316992763822,0.023981927922410988,0.6671815427952217,0.7245191209850402
rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.665885134747225,0.023506190930031565,0.6665868455845994,0.02330794850711155,0.6665687987585496,0.7219402907805665
rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.6652763925476117,0.02458837861369795,0.6659693716259777,0.02427802759204002,0.6659597982591224,0.722594499690848
rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.6648921495478131,0.024145533916754024,0.6655597332234099,0.023892609750211073,0.6655471152948522,0.7213791208901491
rbf_c1_scale,1.0,scale,0.2,0.8,0.6630980022652698,0.024717824014807592,0.6640044622891059,0.0245340987875772,0.6639274752306765,0.7236608250465906
rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.6630947846278834,0.022652280489362818,0.6639722947475778,0.02270691574638501,0.6639219554672767,0.7278577273947413
rbf_c10_scale,10.0,scale,0.0,1.0,0.66277070592875,0.023044927005472293,0.6634233759167101,0.023014182451030738,0.6633385248263364,0.72041487270169
rbf_c3_scale,3.0,scale,0.0,1.0,0.6625359386713912,0.022984378102012617,0.6633765699783523,0.0229532014653151,0.6632923872010268,0.720437532348204
rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.6619094289195979,0.02392274596914735,0.6626993305425841,0.023849498275517286,0.6626285122981695,0.7220953710747914
rbf_c1_scale,1.0,scale,0.0,1.0,0.6593316169969181,0.029064638302809514,0.6602306002050533,0.028908233826574068,0.6601287371967579,0.7175260480144674
rbf_c10_scale,10.0,scale,1.0,0.0,0.6583495628493855,0.025168837324065624,0.6590380368572848,0.02492283329453637,0.6590442781338546,0.7162873902545517
rbf_c1_scale,1.0,scale,1.0,0.0,0.6583495628493855,0.025168837324065624,0.6590380368572848,0.02492283329453637,0.6590442781338546,0.7162873902545517
rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.6583495628493855,0.025168837324065624,0.6590380368572848,0.02492283329453637,0.6590442781338546,0.7162873902545517
rbf_c3_scale,3.0,scale,1.0,0.0,0.6583495628493855,0.025168837324065624,0.6590380368572848,0.02492283329453637,0.6590442781338546,0.7162873902545517
